algorithm-1, algorithm-2, algorithm-3, algorithm-4, T1(n), T2(n), T3(n), T4(n)
0.88,0.354,0.367,0.161,4.096,0.198,0.144281,0.043,
2.08633,0.727333,1.05367,0.334333,8.836,0.4164,0.250563,0.064,
5.417,1.58467,1.16333,0.350667,15.376,0.715,0.364383,0.085,
8.89633,2.773,1.48,0.287667,23.716,1.0934,0.483867,0.106,
11.5077,4.28967,1.46567,0.278333,33.856,1.552,0.607894,0.127,
17.467,3.55367,1.68533,0.37,45.796,2.0904,0.735712,0.148,
22.8593,4.96733,1.90867,0.475333,59.536,2.709,0.866786,0.169,
28.3327,5.66767,2.24133,0.440333,75.076,3.4074,1.00071,0.19,
38.1147,6.60867,2.595,0.512333,92.416,4.186,1.13718,0.211,
50.3223,8.34033,2.914,0.596667,111.556,5.0444,1.27593,0.232,
65.2417,9.73533,3.00167,0.575,132.496,5.983,1.41676,0.253,
78.6957,11.485,3.274,0.653,155.236,7.0014,1.55949,0.274,
94.4877,12.96,3.682,0.701,179.776,8.1,1.70399,0.295,
114.72,14.8783,3.783,0.748333,206.116,9.2784,1.85013,0.316,
139.789,17.9163,4.777,0.866333,234.256,10.537,1.99779,0.337,
171.633,20.979,4.39933,0.794333,264.196,11.8754,2.14689,0.358,
192.084,21.2597,4.839,0.816,295.936,13.294,2.29734,0.379,
222.004,26.0167,5.02667,0.874667,329.476,14.7924,2.44906,0.4,
273.273,26.7573,5.62233,1.03267,364.816,16.371,2.60199,0.421,
